sppg_id,nama_sekolah,kategori,alamat,default_porsi_besar,default_porsi_kecil
2,SPS Lestari Marangan,Sekolah,-,,
2,TK ABA Marangan,Sekolah,-,,
2,SLB Bhakti Pertiwi (Candirejo),Sekolah,-,,
2,SLB Bhakti Pertiwi (Bokoharjo),Sekolah,-,,
2,SDN Bokoharjo,Sekolah,-,,
2,SD MBS,Sekolah,-,,
2,SMP MBS Pusat,Sekolah,-,,
2,SMP MBS ARF,Sekolah,-,,
2,SMA MBS Pusat,Sekolah,-,,
2,SMA MBS ARF,Sekolah,-,,
2,Marangan : Rumah Pak Dukuh,Non Sekolah,-,,
2,Majasem : Rumah Pak Badri RT 04,Non Sekolah,-,,
2,Dawung : Rumah Pak Dukuh,Non Sekolah,-,,
2,Cepit : di Tempat Bu Sudarsih,Non Sekolah,-,,
2,Serut : Rumah Ibu Umi,Non Sekolah,-,,
2,Candirejo : Rumah Bu Tuminah,Non Sekolah,-,,
2,Ringinsari 1 : Tempat Ibu Barunawati,Non Sekolah,-,,
2,Pelemsari : Tempat Bu Dukuh,Non Sekolah,-,,
2,Ringinsari 2 : Tempat Pak Dukuh,Non Sekolah,-,,
2,Jamusan : Tempat Pak Dukuh,Non Sekolah,-,,
2,Karyawan MBS HRD,Non Sekolah,-,,
2,Karyawan MBS SD,Non Sekolah,-,,
3,TK Bustanun Nasyien,Sekolah,-,,
3,MI Bustanun Nasyien,Sekolah,-,,
3,MI Raudlatul Islam,Sekolah,-,,
3,SD Muhammadiyah,Sekolah,-,,
3,SMP Muhammadiyah,Sekolah,-,,
3,SMP Al-Ma'arif,Sekolah,-,,
3,SMA Walisongo,Sekolah,-,,
3,Mitra Karya Mandiri dan Karya Medika,Non Sekolah,-,,
4,TK Tunas Harapan,Sekolah,Mayong Kidul,,
4,KB Aisyah 20 Jepara,Sekolah,Mayong Kidul,,
4,SDN 3 Mayong Kidul,Sekolah,Mayong Kidul,,
4,POS PAUD Ceria,Sekolah,Mayong Kidul,,
4,TK Aisiyah 25 Jepara,Sekolah,Sengon Bugel,,
4,TK Darussalam Sengon,Sekolah,Sengon Bugel,,
4,TK Guppi Sengonbugel,Sekolah,Sengon Bugel,,
4,KB Permata,Sekolah,Pelang,,
4,SDN 3 Pelang,Sekolah,Pelang,,
4,MTS Nurul Athfal Pelang,Sekolah,Pelang,,
4,TK Al Amin Pelang,Sekolah,Pelang,,
4,SDN 1 Singorojo,Sekolah,Singorojo,,
4,SDN 2 Singorojo,Sekolah,Singorojo,,
4,TPA Al - Fathan,Sekolah,Pelemkerep,,
4,RA Al - Azhar Al - Alawy,Sekolah,Mayong Lor,,
4,TK Ngudi Rahayu,Sekolah,Mayong Lor,,
4,MI Sabilul Ulum,Sekolah,Mayong Lor,,
4,TK Ngudi Kaweruh Tigaju,Sekolah,Tigajuru,,
4,SDN 1 Tigajuru,Sekolah,Tigajuru,,
4,SDN 2 Tigajuru,Sekolah,Tigajuru,,
4,PP Ngudi Kaweruh,Sekolah,Tigajuru,,
4,Al Masyur Kuanyar,Sekolah,Kuanyar,,
4,RA Al Masyur Kuanyar,Sekolah,Kuanyar,,
4,SDN 1 Kuanyar,Sekolah,Kuanyar,,
4,SDN 2 Kuanyar,Sekolah,Kuanyar,,
4,MI Syumusul Huda Kuan,Sekolah,Kuanyar,,
4,PP Anggrek,Sekolah,Kuanyar,,
4,KB Al Muna Mnu,Sekolah,Kuanyar,,
4,TK Pertiwi Kuanyar,Sekolah,Kuanyar,,
5,TK Kuncup Mekar,Sekolah,-,,
