ID SPPG,Nama SPPG,Alamat SPPG
K3X1EL5H,SPPG PCM BAKI,"Gedongan RT 01/RW 04, Kec. Baki, Kab. Sukoharjo, Jawa Tengah"
HKUDZUR0,SPPG PPM MBS YOGYAKARTA,"Jl. Prambanan Piyungan KM 02  Marangan Bokoharjo, Kec.Prambanan Kab.Sleman DI Yogyakarta"
FUOH5QS6,SD Muhammadiyah Ketanggungan ,"Jl. Ahmad Yani No. 104, Dukuhturi, Ketanggungan, Brebes, Jawa Tengah 52263 "
OMTPS71C,PRM Muhammadiyah  Kuanyar ,"Desa kuanyar , RT 03 RW 02 , kecamatan Mayong kabupaten Jepara "
QN1CWJTH,SMA MUHAMMADIYAH TARAKAN,"Jalan Ladang III, NO. 01, Kel. Pamusian, Kec. Tarakan Tengah, Kota tarakan, Provinsi kalimantan Utara"
LLXFLXMO,SPPG Sukoharjo Polokarto Wonorejo,"Jengglong, RT 03/RT 05, Jatisobo, Polokarto, Sukoharjo, Jawa Tengah"
GC8T6IBY,PDM WONOGIRI DI SELOGIRI,"Jl. RM Said, Brumbung, Kaliancar, Selogiri, Kab Wonogiri"
GWKEY1GK,SPPG TEGALREJO PURWANTORO,Alamat : Karanglo RT 006 RW 003 Kelurahan Tegalrejo Kec Purwantoro Wonogiri Jawa Tengah
CNLRIE73,SMP Muhammadiyah Garut,Jln.Muhammadiyah No.21 Garut
IEK4UA1H,SPPG PDM SUKOHARJO NGUTER,"7V7C+GW2, Unnamedroad, Dusun 1, Nguter kec. Nguter kabupaten Sukoharjo Jawa Tengah 57571"
NZ3HPLZ5,SPPG GARUT CILAWU NGAMPLANGSARI  ,Jl RAYA GARUT TASIK NO 36 NGAMPLANGSARI CILAWU GARUT
QMTHFJVZ,PDMJepara-RS PKU Mayong,"Jln. Pegadaian No 12 Gleget RT 5 RW 9 Mayong Lor, Mayong, Jepara,Jawa Tengah"
QMTHFJVZ,PDM JEPARA-RS PKU MAYONG,"Jl Pegadaian No 12 Gleget, Mayong Lor, Mayong, Jepara, Jawa Tengah 59465"
